1,7,26,40,42,43
1,21,31,33,39,47
5,8,17,36,43,45
10,21,24,25,27,48
16,26,28,43,46,49
14,21,23,37,45,47
5,8,24,28,29,49
2,3,6,7,8,25
16,30,34,39,46,47
9,14,20,39,43,44
13,32,33,41,47,48
3,12,15,21,31,33
9,24,34,39,46,49
17,21,24,31,33,49
17,20,24,42,44,45
13,19,25,26,44,45
12,26,37,40,44,47
3,16,30,31,39,43
2,24,37,40,43,46
20,26,34,40,41,42
11,13,36,39,42,44
3,7,26,32,41,43
5,7,14,30,36,47
2,15,19,31,42,43
12,21,27,36,43,49
14,27,28,37,42,46
4,11,21,23,47,49
8,10,30,38,41,47
1,25,27,34,38,44
12,19,20,21,36,37
11,20,27,31,38,46
9,10,13,21,22,40
1,15,38,39,41,46
2,5,13,22,24,30
2,8,13,36,37,38
17,28,30,41,43,49
12,15,16,28,31,36
13,17,19,29,38,41
16,22,30,33,43,46
2,20,25,41,48,49
7,17,37,40,41,46
1,11,27,33,34,45
1,9,36,39,45,46
2,3,7,12,14,41
5,23,24,29,44,48
6,17,26,27,42,49
2,28,30,43,44,45
4,14,24,27,31,49
31,32,34,35,40,44
4,10,12,14,33,45
1,6,13,28,40,46
10,12,37,38,39,44
15,26,29,32,44,45
26,27,33,36,43,45
1,2,6,7,27,35
1,4,24,27,32,43
3,18,25,26,31,49
19,20,33,40,42,44
6,9,13,15,16,17
12,25,26,35,37,39
8,15,22,40,43,48
7,9,16,23,28,46
1,7,12,19,25,39
6,10,11,20,37,40
8,20,21,35,38,46
1,25,31,32,39,44
22,28,36,41,42,49
1,24,28,39,40,44
7,13,25,31,33,37
3,9,16,17,33,43
26,29,31,38,39,43
2,13,15,22,35,37
18,19,26,27,30,47
5,7,16,25,32,38
2,25,26,28,32,47
30,31,40,44,46,49
11,16,20,38,48,49
12,13,19,34,41,43
4,7,10,24,25,43
13,15,27,31,39,48
7,28,37,42,46,48
32,34,35,40,41,48
4,5,6,9,25,40
8,15,19,28,30,33
4,10,21,34,41,44
6,9,24,27,35,43
9,22,31,35,38,43
17,20,27,36,43,49
22,28,32,34,38,45
1,2,7,25,40,43
2,3,17,27,34,40
9,11,18,24,26,33
5,11,13,15,23,27
16,19,27,32,36,39
16,31,33,34,37,47
6,25,30,31,41,45
6,7,13,16,34,46
7,15,20,36,41,43
1,9,11,20,31,45
19,21,28,29,35,39
2,4,9,16,21,35
8,22,25,29,33,35
13,14,17,19,21,43
3,17,24,30,42,49
9,10,16,30,45,49
24,25,27,31,39,41
2,4,7,9,34,41
4,11,13,15,21,40
5,12,33,36,39,49
8,9,10,21,31,40
11,12,21,26,28,30
9,13,15,16,27,38
6,18,26,31,43,47
5,13,15,23,30,48
8,10,15,19,21,27
8,20,27,39,44,45
2,6,11,24,25,33
1,6,8,12,36,41
11,16,28,31,46,48
7,9,30,36,43,45
12,14,15,18,42,45
4,5,32,35,37,48
6,9,13,15,28,38
12,14,21,28,33,35
3,9,13,15,24,32
2,9,28,38,41,49
13,31,32,37,39,41
21,24,36,43,44,48
15,24,29,30,35,39
3,17,23,36,42,46
12,15,31,40,47,48
6,7,9,14,35,41
3,4,6,25,42,45
17,22,31,36,38,47
7,10,20,28,30,45
3,15,23,26,27,33
8,9,15,17,43,45
3,9,12,26,41,44
4,11,16,23,25,42
3,9,15,24,30,45
4,13,22,37,39,40
18,22,30,31,32,40
4,5,7,10,41,48
1,10,16,18,19,42
10,18,26,36,41,49
10,12,20,21,27,38
12,17,37,39,46,48
1,7,8,20,29,48
8,10,16,24,29,45
4,23,31,39,42,45
12,15,17,22,26,39
12,23,29,34,36,43
4,6,8,16,28,34
11,14,19,26,42,47
5,13,18,21,24,41
18,21,23,36,42,47
3,29,37,40,44,49
15,17,18,36,42,46
2,35,37,44,47,48
3,17,24,39,42,44
5,26,27,29,33,37
3,13,17,34,37,47
12,19,20,21,22,24
7,10,25,38,40,45
13,20,28,33,35,43
7,8,11,34,44,48
3,15,29,35,44,48
10,16,23,31,41,46
10,22,26,27,32,34
3,10,12,22,24,32
6,15,27,31,36,38
5,7,12,20,31,40
2,7,9,23,24,42
14,15,18,20,30,41
7,12,20,26,34,39
16,20,41,43,45,46
1,10,32,34,37,45
2,4,16,25,40,42
4,6,13,21,44,48
1,8,13,14,27,49
12,25,32,36,39,45
6,9,14,19,21,44
12,23,31,35,41,43
11,14,17,36,40,41
2,16,21,23,31,46
10,13,23,36,44,48
1,4,11,34,36,41
13,18,35,37,40,44
2,5,13,37,39,48
7,27,33,34,40,47
10,14,17,27,30,46
5,6,8,22,28,30
4,7,11,24,29,39
1,5,9,14,17,46
2,10,14,33,36,39
1,25,35,41,43,44
7,10,12,16,34,46
3,15,21,26,30,43
2,3,22,30,45,46
8,9,14,17,21,47
17,25,28,31,44,47
17,20,25,27,28,36
3,24,32,33,38,43
7,13,23,26,37,49
2,8,29,37,41,48
16,20,29,44,46,48
6,10,20,32,35,46
4,6,14,29,36,44
21,35,36,42,43,46
13,16,17,34,37,42
8,15,22,23,33,49
9,19,22,33,43,48
5,13,14,18,29,37
1,14,33,41,43,45
14,33,35,37,42,45
12,16,22,35,37,46
3,19,35,43,47,49
3,14,18,24,34,40
8,30,32,39,47,48
9,23,31,43,45,46
7,9,15,16,24,28
20,21,38,39,41,45
7,14,21,23,24,32
7,9,11,15,28,41
7,16,17,26,35,41
11,17,31,35,38,49
9,16,17,32,39,46
6,34,38,42,44,47
5,9,15,39,43,48
11,13,19,26,29,36
5,20,24,35,37,44
6,8,11,32,37,49
15,38,40,43,46,47
4,5,8,37,45,46
16,18,30,34,37,38
8,9,15,21,23,48
6,18,23,24,37,39
1,11,17,22,36,42
3,19,22,27,35,44
13,25,30,39,43,49
13,34,35,37,45,49
6,14,15,16,20,40
4,15,20,26,29,41
5,11,14,16,18,30
2,7,11,19,21,23
10,15,21,28,29,36
3,10,15,32,35,41
11,15,22,38,43,47
4,14,27,32,43,49
7,27,32,34,35,36
31,37,39,43,44,46
20,31,35,36,40,41
10,29,39,41,44,48
6,33,36,43,44,47
18,19,27,40,48,49
5,18,19,23,42,45
11,12,16,18,30,47
4,23,27,28,34,49
16,19,35,40,47,49
9,10,20,24,27,31
1,3,9,13,26,38
11,13,18,23,43,49
25,26,32,33,44,45
1,2,9,26,38,43
7,12,20,23,35,41
4,10,22,34,41,44
11,12,16,24,31,46
10,16,29,33,46,48
3,17,23,25,34,48
6,13,16,21,27,32
5,7,29,30,39,41
2,4,37,39,44,46
4,25,29,31,37,41
3,5,10,37,47,49
13,15,16,25,31,34
6,14,16,36,43,46
7,10,14,38,43,47
1,10,16,31,39,45
1,6,10,18,22,26
22,23,34,42,44,47
10,20,28,29,30,34
3,7,22,39,40,45
1,13,16,19,25,39
1,6,17,36,40,43
7,16,17,24,27,37
1,5,12,22,23,28
24,30,34,39,45,46
